rarity,name,image,mainid,sub,special,alt1,alt2
3,Rブラスターエリートデコ,rapidpro_2.png,55,dart.webp,wail.webp,Rブラスターエリート,RブラスターエリートWNTR
1,RブラスターエリートWNTR,rapidpro_3.png,55,suction.webp,cooler.webp,Rブラスターエリート,Rブラスターエリートデコ
5,S-BLAST92,sblast_1.png,56,sprinkler.webp,slider.webp,S-BLAST91,non
3,S-BLAST91,sblast_2.png,56,burst.webp,booyah.webp,S-BLAST92,non
5,パブロ,inkbrush_1.png,57,splat.webp,wail.webp,パブロ･ヒュー,non
5,パブロ･ヒュー,inkbrush_2.png,57,mine.webp,stamp.webp,パブロ,non
3,ホクサイ,octobrush_1.png,58,suction.webp,zip.webp,ホクサイ･ヒュー,ホクサイ彗
5,ホクサイ･ヒュー,octobrush_2.png,58,beacon.webp,inkstorm.webp,ホクサイ,ホクサイ彗
3,ホクサイ彗,octobrush_3.png,58,auto.webp,kraken.webp,ホクサイ,ホクサイ･ヒュー
4,フィンセント,painbrush_1.png,59,curling.webp,wavebreaker.webp,フィンセント･ヒュー,フィンセントBRNZ
3,フィンセント･ヒュー,painbrush_2.png,59,sensor.webp,missiles.webp,フィンセント,フィンセントBRNZ
4,フィンセントBRNZ,painbrush_3.png,59,wall.webp,zooka.webp,フィンセント,フィンセント･ヒュー
3,トライストリンガー,bow_1.png,60,mist.webp,wail.webp,トライストリンガーコラボ,トライストリンガー燈
2,トライストリンガーコラボ,bow_2.png,60,sprinkler.webp,chumps.webp,トライストリンガー,トライストリンガー燈
4,トライストリンガー燈,bow_3.png,60,dart.webp,inkjet.webp,トライストリンガー,トライストリンガーコラボ
1,LACT-450,reeflux_1.png,61,curling.webp,missiles.webp,LACT-450デコ,LACT-450MILK
5,LACT-450デコ,reeflux_2.png,61,wall.webp,slider.webp,LACT-450,LACT-450MILK
2,LACT-450MILK,reeflux_3.png,61,torp.webp,booyah.webp,LACT-450,LACT-450デコ
4,フルイドV,wellstring_1.png,62,auto.webp,stamp.webp,フルイドVカスタム,non
3,フルイドVカスタム,wellstring_2.png,62,sensor.webp,wavebreaker.webp,フルイドV,non
3,ジムワイパー,stamper_1.png,63,burst.webp,zip.webp,ジムワイパー･ヒュー,ジムワイパー封
1,ジムワイパー･ヒュー,stamper_2.png,63,mist.webp,crab.webp,ジムワイパー,ジムワイパー封
1,ジムワイパー封,stamper_3.png,63,auto.webp,booyah.webp,ジムワイパー,ジムワイパー･ヒュー
3,ドライブワイパー,wiper_1.png,64,torp.webp,stamp.webp,ドライブワイパーデコ,ドライブワイパーRUST
4,ドライブワイパーデコ,wiper_2.png,64,beacon.webp,missiles.webp,ドライブワイパー,ドライブワイパーRUST
5,ドライブワイパーRUST,wiper_3.png,64,curling.webp,zooka.webp,ドライブワイパー,ドライブワイパーデコ
3,デンタルワイパーミント,decav_1.png,65,suction.webp,bubbler.webp,デンタルワイパースミ,non
4,デンタルワイパースミ,decav_2.png,65,wall.webp,inkjet.webp,デンタルワイパーミント,non
